sampID,raw,trim,to.be.aligned,secondary.align,align,paired,R1.paired,R2.paired,align.paired,both.align.paired,one.align.paired,PCT_PF_ALIGNED,PF_BASES,PF_ALIGNED_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,NUM_R1_TRANSCRIPT_STRAND_READS,NUM_R2_TRANSCRIPT_STRAND_READS,NUM_UNEXPLAINED_READS,PCT_R1_TRANSCRIPT_STRAND_READS,PCT_R2_TRANSCRIPT_STRAND_READS,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,to.be.aligned_filter,align_filter,paired_filter,R1.paired_filter,R2.paired_filter,align.paired_filter,both.align.paired_filter,Assigned,Unassigned_NoFeatures,Unassigned_Ambiguity
Lu01,48121840,46825583,51331763,7857159,51331763,43474604,21741135,21733469,43462106,43462106,12498,0.997253157494237,1512209015,1508055215,882881173,445750666,94885428,84537948,8993019,9029778,324007,0.49898,0.50102,0.585444,0.29558,0.062919,0.056058,0.881023,0.878603,0.520314,0.386316,0.35099,0.954282,39223980,39223980,39223980,19611990,19611990,39223980,39223980,18537277,863910,606845
Lu02,48906524,47629038,52055700,7757355,52055700,44298345,22152877,22145468,44286284,44286284,12061,0.997371568956754,1541157418,1537106592,898839955,447897157,103633185,86736295,9152121,9145509,307903,0.500181,0.499819,0.584761,0.29139,0.067421,0.056428,0.876151,0.873848,0.512524,0.383432,0.35161,0.934411,40084072,40084072,40084072,20042036,20042036,40084072,40084072,18837185,943908,677602
Lu03,39768312,38512092,42069811,6374041,42069811,35695770,17852476,17843294,35682772,35682772,12998,0.9973373305427143,1240538134,1237234991,724408349,377542305,68112921,67171416,7478797,7457826,301770,0.500702,0.499298,0.585506,0.30515,0.055053,0.054292,0.890656,0.888284,0.520355,0.370986,0.34092,0.951766,32128250,32128250,32128250,16064125,16064125,32128250,32128250,15261423,601708,516875
Lu04,45569952,44241547,48517817,7381505,48517817,41136312,20572299,20564013,41123724,41123724,12588,0.9973770358466366,1430420616,1426668674,833584845,432534505,80860348,79688976,8580533,8584677,357718,0.499879,0.500121,0.584288,0.303178,0.056678,0.055857,0.887466,0.885138,0.517703,0.379333,0.332983,0.932321,37010084,37010084,37010084,18505042,18505042,37010084,37010084,17558982,708210,615679
Lu05,51315002,50017725,54821862,8269420,54821862,46552442,23280084,23272358,46539824,46539824,12618,0.9973211265460054,1619471048,1615132690,954368238,479207439,93462568,88094445,9731716,9709075,361741,0.500582,0.499418,0.590892,0.296698,0.057867,0.054543,0.88759,0.885212,0.517021,0.388055,0.349409,0.962556,42034110,42034110,42034110,21017055,21017055,42034110,42034110,19975571,836380,646185
Lu06,44621094,43382654,47401870,7155274,47401870,40246596,20126807,20119789,40234940,40234940,11656,0.9973384176430472,1399747406,1396021863,806450073,417473231,91887151,80211408,8288125,8301820,308694,0.499587,0.500413,0.577677,0.299045,0.065821,0.057457,0.876722,0.874389,0.51301,0.380761,0.36215,0.909391,36299552,36299552,36299552,18149776,18149776,36299552,36299552,17106621,847559,589181
Lu07,51682534,50436321,55439425,8424252,55439425,47015173,23510773,23504400,47004096,47004096,11077,0.9974579169770089,1636064976,1631905963,978889140,477220824,89473307,86322692,9870865,9887208,354908,0.499586,0.500414,0.599844,0.292432,0.054827,0.052897,0.892276,0.890007,0.521964,0.367305,0.324348,0.981167,42471216,42471216,42471216,21235608,21235608,42471216,42471216,20199149,787179,701600
Lu08,46029710,44663708,48706359,7291045,48706359,41415314,20711847,20703467,41402482,41402482,12832,0.9973743339203541,1439984326,1436203408,839780757,424832075,91207387,80383189,8576528,8593198,308848,0.499515,0.500485,0.584723,0.295802,0.063506,0.055969,0.880525,0.878213,0.516119,0.380623,0.344593,0.957769,37438020,37438020,37438020,18719010,18719010,37438020,37438020,17648172,834338,635369
Lu09,54045916,52825830,58278727,9213647,58278727,49065080,24535549,24529531,49053458,49053458,11622,0.9973148594045292,1707911313,1703325331,991262346,512237672,102899333,96925980,10131484,10168342,395259,0.499092,0.500908,0.581957,0.300728,0.060411,0.056904,0.882685,0.880315,0.510623,0.375303,0.341726,0.933555,43947788,43947788,43947788,21973894,21973894,43947788,43947788,20760612,958382,730300
Lu10,52478160,51144836,56272552,8833456,56272552,47439096,23723137,23715959,47426284,47426284,12812,0.997266200776627,1650629264,1646116775,935882602,491327057,116673551,102233565,9628502,9649916,372007,0.499445,0.500555,0.56854,0.298476,0.070878,0.062106,0.867016,0.864646,0.509158,0.381731,0.357292,0.941225,42533722,42533722,42533722,21266861,21266861,42533722,42533722,19899557,1109995,699718
Lu11,50557654,49180110,54321599,8631390,54321599,45690209,22849196,22841013,45676694,45676694,13515,0.9973017476285134,1589071521,1584783805,924585610,491039217,82159777,86999201,9547735,9524580,425401,0.500607,0.499393,0.583414,0.309846,0.051843,0.054897,0.893261,0.89085,0.518372,0.377845,0.338655,0.949686,40834804,40834804,40834804,20417402,20417402,40834804,40834804,19436007,734899,676534
Lu12,51979904,50587734,56108676,9331605,56108676,46777071,23392161,23384910,46763514,46763514,13557,0.9971212538921461,1627291475,1622606916,922600576,501733701,91779914,106492725,9563992,9578796,461801,0.499613,0.500387,0.568592,0.309215,0.056563,0.065631,0.877806,0.875279,0.507263,0.376385,0.406435,0.811529,41526898,41526898,41526898,20763449,20763449,41526898,41526898,19534659,896634,764046
Lu13,54229644,52794109,58050540,8992295,58050540,49058245,24533169,24525076,49044844,49044844,13401,0.9973341316074904,1706651766,1702102057,994523712,513379985,100032960,94165400,10186212,10192638,411219,0.499842,0.500158,0.584291,0.301615,0.05877,0.055323,0.885907,0.883545,0.511649,0.386065,0.347172,0.955319,44036618,44036618,44036618,22018309,22018309,44036618,44036618,20834767,937690,712166
Lu14,51998168,50534726,55547295,8690539,55547295,46856756,23432653,23424103,46843240,46843240,13516,0.9973087338107733,1629689407,1625303479,932851158,490485495,104083049,97883777,9616522,9600284,402251,0.500422,0.499578,0.573955,0.301781,0.064039,0.060225,0.875736,0.873379,0.515083,0.374731,0.343304,0.949019,41984558,41984558,41984558,20992279,20992279,41984558,41984558,19752362,981142,704422
Lu15,50691434,49316464,54212209,8360773,54212209,45851436,22930248,22921188,45837986,45837986,13450,0.9974782760329304,1594684451,1590663097,944095528,474920426,87423389,84223754,9583729,9614217,385880,0.499206,0.500794,0.593523,0.298568,0.05496,0.052949,0.892091,0.889841,0.513994,0.368479,0.312505,0.97565,41222034,41222034,41222034,20611017,20611017,41222034,41222034,19520001,797928,704431
Lu16,55052996,53687767,58985412,9237377,58985412,49748035,24877222,24870813,49736192,49736192,11843,0.9974854487124076,1731154191,1726801115,1012812976,509410525,106094872,98482742,10267110,10303714,408806,0.49911,0.50089,0.586526,0.295002,0.06144,0.057032,0.881528,0.879311,0.512918,0.37472,0.321839,0.982745,44655304,44655304,44655304,22327652,22327652,44655304,44655304,21016002,1000678,808713
